cod_dpto,puntos_wifi,dpto,region,penetracion
5,148.0,Antioquia,Region Eje Cafetero - Antioquia,0.6531746999999999
8,141.0,Atlántico,Región Caribe,14.5145749
11,15.0,"Bogotá, D.C.",Región Centro Oriente,2.6815089
13,18.0,Bolívar,Región Caribe,4.3902567
15,25.0,Boyacá,Región Centro Oriente,11.100076800000002
17,8.0,Caldas,Region Eje Cafetero - Antioquia,19.9108543
18,0.0,Caquetá,Región Centro Sur,7.2770502
19,16.0,Cauca,Región Pacífico,6.165546400000001
20,20.0,Cesar,Región Caribe,10.1216292
23,72.0,Córdoba,Región Caribe,3.3618847
25,45.0,Cundinamarca,Región Centro Oriente,7.1521555
27,10.0,Chocó,Región Pacífico,4.0037126
41,19.0,Huila,Región Centro Sur,5.8953425
44,10.0,La Guajira,Región Caribe,3.0299394
47,2.0,Magdalena,Región Caribe,4.114113
50,10.0,Meta,Región Llano,10.1418225
52,14.0,Nariño,Región Pacífico,0.0723205
54,16.0,Norte de Santander,Región Centro Oriente,0.3169458
63,12.0,Quindio,Region Eje Cafetero - Antioquia,7.0254346
66,157.0,Risaralda,Region Eje Cafetero - Antioquia,2.6587625999999998
68,23.0,Santander,Región Centro Oriente,5.1614435
70,2.0,Sucre,Región Caribe,9.4092118
73,27.0,Tolima,Región Centro Sur,4.2247352000000005
76,5.0,Valle del Cauca,Región Pacífico,8.9299953
81,8.0,Arauca,Región Llano,1.8562936999999997
85,8.0,Casanare,Región Llano,13.1665446
86,2.0,Putumayo,Región Centro Sur,13.9774882
88,0.0,"Archipiélago de 'San Andrés, Providecia y Santa Catalina",Región Caribe,13.9732521
91,0.0,Amazonas,Región Centro Sur,4.8413084
94,0.0,Guainía,Región Llano,9.1229406
95,0.0,Guaviare,Región Llano,12.7015199
97,0.0,Vaupés,Región Llano,0.07786560000000001
99,0.0,Vichada,Región Llano,0.0986467
